YEAR,TERM,TEACHER ID,TEACHER NAME,CLASS,STUDENT NAME,STUDENT ID,DOB,DOMAIN,SUB CATEGORY,SKILL,SCORE,COMMENT
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Enjoys singing,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Sings simple songs to pitch,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Responds rhythmically to music,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Participates keenly in musical activities,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Enjoys painting,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Enjoys drawing / colouring,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Produces creative and original work,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Enjoys role-play,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Makes believe with objects and situations,4,
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Commendable Areas observed:,0,"Rachel has increased in her confidence in reading in front 
of her classmates. She is a delightful & 
animated reader. Rachel won the interclass spelling bee 
competition!"
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Areas of potential in this category,0,"Rachel loves to create.  If she creates her own materials, 
this would boost her confidence in this area even more"
2022,1,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play","Suggested areas for parents to positively encourage 
at home",0,"1. To read books aloud to siblings to boost her confidence  
2. Mini projects – create a short story book  
3. Mini competitions to have more difficult words to 
challenge her spelling"
2022,2,T001,MRS LINDA TAN,K2,RACHEL LEE,S0001,15-Jun-16,AESTHETIC AND CREATIVE EXPRESSION,"Music and Movement, Art and Craft, Dramatic Play",Enjoys singing,4,
